French,English
partie,part
histoire,history
chercher,search
seulement,only
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
eux,them
chaque,each
parlé,speak
arrivé,come
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
revoir,meet again
aucune,any
place,square
compris,understood
savais,knew
attention,Warning
affaire,case
donner,give
donné,given
corps,body
façon,way
écoute,listen
trouve,find
premier,first
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
matin,morning
tellement,so much
enfant,child
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
demandé,request
chambre,bedroom
mis,placed
belle,beautiful
droit,law
aimerais,would like to
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
terre,Earth
compte,account
donne,given
loin,far
croire,believe
gros,large
plutôt,rather
aura,will have
filles,girls
bureau,office
